               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12412,            0.033271,                   0,           0.0081754,             0.11111,             0.00622,           0.0013457,             0.12695,            0.022157,                   0,              0.0964,              0.0004,              0.0004
                   1,              0.1245,            0.037648,                   0,           0.0062745,             0.35556,           0.0065199,           0.0016204,             0.12111,            0.023736,                   0,            0.091899,          0.00089911,          0.00089911
                   2,             0.11354,             0.05335,                   0,           0.0070588,                 0.4,           0.0091295,           0.0020584,             0.11637,            0.025666,                   0,            0.087397,           0.0013972,           0.0013972
                   3,             0.10951,            0.043515,                   0,            0.007451,             0.42222,            0.010449,           0.0020808,             0.10761,            0.028302,                   0,            0.082894,           0.0018944,           0.0018944
                   4,             0.10113,            0.049163,                   0,           0.0093434,             0.44444,            0.018154,           0.0033752,            0.098242,            0.031283,                   0,             0.07839,           0.0023905,           0.0023905
                   5,             0.10306,            0.051398,                   0,           0.0084314,             0.47778,            0.014897,           0.0026481,            0.095829,            0.032818,                   0,            0.073886,           0.0028856,           0.0028856
                   6,              0.1047,            0.049535,                   0,           0.0086275,             0.48889,            0.018156,           0.0039449,            0.093226,            0.033553,                   0,             0.06938,           0.0033798,           0.0033798
                   7,            0.098079,            0.071128,                   0,            0.039821,             0.12222,            0.022384,           0.0050887,            0.091114,             0.03481,                   0,            0.064873,            0.003873,            0.003873
                   8,            0.093961,            0.072015,                   0,            0.082105,             0.12222,            0.033046,            0.008333,             0.09567,            0.033317,                   0,            0.060365,           0.0043652,           0.0043652
                   9,            0.081484,            0.053871,                   0,            0.080907,             0.14444,            0.036049,            0.010279,            0.092599,            0.038178,                   0,            0.055856,           0.0048563,           0.0048563
                  10,            0.085898,            0.050324,                   0,             0.17333,             0.11111,            0.053079,            0.014876,            0.091469,            0.039484,                   0,            0.051347,           0.0053465,           0.0053465
                  11,            0.087014,            0.058851,                   0,            0.069064,             0.12222,            0.046571,            0.018949,            0.093096,             0.03959,                   0,            0.046836,           0.0058357,           0.0058357
                  12,            0.085927,            0.072158,                   0,             0.17891,             0.13333,            0.098327,            0.025008,            0.091859,            0.045447,                   0,            0.042324,            0.006324,            0.006324
                  13,            0.083523,            0.045017,                   0,             0.14365,             0.21111,            0.068335,            0.018426,            0.092262,             0.03969,                   0,            0.037811,           0.0068112,           0.0068112
                  14,            0.083327,            0.055818,                   0,             0.26985,               0.308,             0.19088,            0.056892,            0.081742,            0.040338,                   0,            0.033297,           0.0072974,           0.0072974
                  15,            0.081666,            0.051001,                   0,             0.13374,             0.34652,             0.10916,            0.034618,            0.089225,            0.035993,                   0,            0.028783,           0.0077827,           0.0077827
                  16,            0.071743,            0.046875,                   0,             0.11618,             0.34444,             0.12265,            0.030334,            0.088262,            0.035873,                   0,            0.024267,           0.0082669,           0.0082669
                  17,            0.083309,            0.049195,                   0,             0.26512,             0.35556,             0.24192,            0.072131,            0.083934,            0.032985,                   0,             0.01975,           0.0087502,           0.0087502
                  18,            0.078797,            0.075868,                   0,             0.30847,             0.33333,             0.21193,            0.059041,            0.080821,            0.035406,                   0,            0.015232,           0.0092325,           0.0092325
                  19,            0.075578,            0.050013,                   0,             0.23167,             0.21111,              0.1566,            0.049627,            0.090443,             0.03596,                   0,            0.010714,           0.0097138,           0.0097138
                  20,            0.082855,            0.047656,                   0,             0.37491,             0.53333,             0.32113,            0.093495,            0.075183,            0.035013,                   0,            0.009802,            0.009802,            0.009802
                  21,            0.071234,            0.060602,                   0,             0.25363,                 0.4,              0.2427,            0.084085,            0.081034,            0.039732,                   0,            0.009802,            0.009802,            0.009802
