               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11799,            0.036021,                   0,           0.0068627,             0.38889,           0.0070961,           0.0015903,             0.11923,            0.025096,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11627,            0.040336,                   0,            0.013693,             0.45556,            0.035047,           0.0055123,              0.1164,            0.026762,                   0,            0.091899,          0.00089911,          0.00089911
                   2,             0.10792,            0.059075,                   0,            0.016057,             0.48889,            0.063636,            0.011748,             0.10936,            0.029064,                   0,            0.087397,           0.0013972,           0.0013972
                   3,             0.10206,            0.048495,                   0,            0.013301,             0.48889,            0.051979,            0.011989,             0.10337,            0.031846,                   0,            0.082894,           0.0018944,           0.0018944
                   4,            0.090606,            0.056777,                   0,             0.12446,             0.14444,            0.055299,           0.0088377,            0.096845,              0.0331,                   0,             0.07839,           0.0023905,           0.0023905
                   5,            0.096301,            0.057261,                   0,             0.13602,            0.077778,            0.044216,           0.0086988,            0.094854,             0.03425,                   0,            0.073886,           0.0028856,           0.0028856
                   6,            0.095969,            0.055013,                   0,            0.067363,            0.088889,             0.04079,            0.011024,             0.09379,            0.034437,                   0,             0.06938,           0.0033798,           0.0033798
                   7,            0.088765,            0.080074,                   0,             0.11914,             0.15556,            0.052886,            0.011201,            0.091491,             0.03538,                   0,            0.064873,            0.003873,            0.003873
                   8,            0.084742,             0.07818,                   0,              0.1337,             0.18889,            0.090817,            0.026368,            0.085978,            0.034715,                   0,            0.060365,           0.0043652,           0.0043652
                   9,            0.073779,            0.055959,                   0,             0.17998,             0.24444,            0.089323,            0.026089,            0.087398,            0.034774,                   0,            0.055856,           0.0048563,           0.0048563
                  10,            0.076078,             0.05152,                   0,             0.16189,             0.22322,             0.11152,             0.03532,            0.087056,            0.034997,                   0,            0.051347,           0.0053465,           0.0053465
                  11,            0.079479,            0.057867,                   0,             0.38108,                 0.2,             0.19839,            0.073053,            0.084054,             0.03411,                   0,            0.046836,           0.0058357,           0.0058357
                  12,            0.078871,             0.06753,                   0,             0.28119,             0.31111,             0.21577,            0.083452,             0.08151,            0.034445,                   0,            0.042324,            0.006324,            0.006324
                  13,             0.07503,            0.042049,                   0,             0.26004,             0.47778,             0.22715,            0.067774,            0.077997,            0.031058,                   0,            0.037811,           0.0068112,           0.0068112
                  14,            0.075244,            0.052524,                   0,             0.32135,             0.28889,             0.22107,            0.060779,            0.076916,            0.029859,                   0,            0.033297,           0.0072974,           0.0072974
                  15,            0.071558,            0.048952,                   0,             0.39907,             0.26667,             0.27579,             0.07796,            0.076741,            0.030542,                   0,            0.028783,           0.0077827,           0.0077827
                  16,            0.059313,            0.047387,                   0,             0.19345,                 0.2,             0.11165,            0.035916,            0.084429,            0.034151,                   0,            0.024267,           0.0082669,           0.0082669
                  17,              0.0746,            0.048505,                   0,             0.29707,             0.43333,             0.25987,            0.079166,            0.077274,             0.03432,                   0,             0.01975,           0.0087502,           0.0087502
                  18,            0.072838,            0.070259,                   0,             0.15948,             0.58889,             0.13712,            0.042705,            0.080668,            0.039158,                   0,            0.015232,           0.0092325,           0.0092325
                  19,            0.071561,            0.046934,                   0,             0.18708,             0.52222,              0.2005,             0.06937,             0.08088,            0.034528,                   0,            0.010714,           0.0097138,           0.0097138
                  20,            0.081539,            0.044551,                   0,             0.25118,                 0.5,             0.23193,             0.07148,            0.075245,            0.030079,                   0,            0.009802,            0.009802,            0.009802
                  21,            0.070528,            0.055189,                   0,              0.3811,                 0.4,             0.35385,             0.11045,            0.075743,            0.028974,                   0,            0.009802,            0.009802,            0.009802
                  22,            0.058968,            0.042495,                   0,             0.56248,             0.42857,             0.47108,             0.16873,            0.067988,            0.029799,                   0,           0.0097921,           0.0097921,           0.0097921
                  23,            0.061537,            0.056804,                   0,             0.44801,             0.55556,             0.34209,            0.096527,            0.072396,            0.034516,                   0,           0.0097822,           0.0097822,           0.0097822
                  24,            0.069489,            0.048555,                   0,             0.44488,             0.51111,             0.40529,             0.14021,            0.068336,            0.030374,                   0,           0.0097723,           0.0097723,           0.0097723
                  25,            0.066382,            0.052597,                   0,             0.48503,             0.52222,             0.47419,             0.16308,            0.069334,            0.028964,                   0,           0.0097624,           0.0097624,           0.0097624
                  26,            0.063143,               0.053,                   0,             0.49913,                 0.6,             0.54024,             0.23042,            0.061316,            0.030197,                   0,           0.0097525,           0.0097525,           0.0097525
                  27,            0.058694,            0.050493,                   0,             0.31003,             0.68889,             0.32979,             0.12307,            0.069831,             0.03187,                   0,           0.0097426,           0.0097426,           0.0097426
                  28,            0.064249,            0.059466,                   0,             0.40705,             0.56667,             0.38331,              0.1322,            0.062717,            0.031154,                   0,           0.0097327,           0.0097327,           0.0097327
